rlucs4co2;Upwelling Clear-Sky Longwave Radiation 4XCO2 Atmosphere;upwelling_longwave_flux_in_air_assuming_clear_sky;unset;[['CMIP5_cfMon']]
nh4;Dissolved Ammonium Concentration at Surface;mole_concentration_of_ammonium_in_sea_water;unset;[['CMIP5_Omon', 'CMIP5_Oyr']]
co3satcalc;Mole Concentration of Calcite expressed as Carbon in Sea Water at Saturation at Surface;mole_concentration_of_calcite_expressed_as_carbon_in_sea_water_at_saturation;unset;[['CMIP5_Omon', 'CMIP5_Oyr']]
fHarvest;Carbon Mass Flux into Atmosphere due to Crop Harvesting;surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_crop_harvesting;unset;[['CMIP5_Lmon', 'SPECS_Lmon']]
h2o;Mass Fraction of Water;mass_fraction_of_water_in_air;includes all phases of water;[['CMIP5_cf3hr']]
clt;Total Cloud Fraction;cloud_area_fraction;for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.  This is a 3-hour mean.;[['CMIP5_3hr']]
reffgrpls;Hydrometeor Effective Radius of Stratiform Graupel;effective_radius_of_stratiform_cloud_graupel_particle;This is defined as the in-cloud ratio of the third moment over the second moment of the particle size distribution (obtained by considering only the cloudy portion of the grid cell).;[['CMIP5_cf3hr']]
hfss;Surface Downward Sensible Heat Flux;surface_downward_sensible_heat_flux;"""This is defined as """"where ice_free_sea over sea""""""";[['CMIP5_Omon']]
tnscliemi;Tendency of Mass Fraction of Stratiform Cloud Ice due to Evaporation of Melting Ice;tendency_of_mass_fraction_of_stratiform_cloud_ice_in_air_due_to_evaporation_of_melting_ice;unset;[['CMIP5_cfMon']]
evspsblveg;Evaporation from Canopy;water_evaporation_flux_from_canopy;the canopy evaporation+sublimation (if present in model).;[['CMIP5_Lmon', 'SPECS_Lmon']]
chlcalc;Mass Concentration of Calcareous Phytoplankton expressed as Chlorophyll in Sea Water at Surface;mass_concentration_of_calcareous_phytoplankton_expressed_as_chlorophyll_in_sea_water;chlorophyll concentration from the calcite-producing phytoplankton component alone;[['CMIP5_Omon', 'CMIP5_Oyr']]
nppLeaf;Carbon Mass Flux due to NPP Allocation to Leaf;net_primary_productivity_of_carbon_accumulated_in_leaves;This is the rate of carbon uptake by leaves due to NPP;[['CMIP5_Lmon', 'SPECS_Lmon']]
ccl2fcclf2tbrdn;Tendency of Atmospheric Burden of CFC-113;tendency_of_atmosphere_moles_of_cfc113;total yearly averaged atmospheric loss;[['CCMI1_annual']]
prAdjust;Bias-Corrected Precipitation;precipitation_flux;"at surface; includes both liquid and solid phases from all types of clouds (both large-scale and convective)";[['CMIP5_Amon']]
wap;omega (=dp/dt);lagrangian_tendency_of_air_pressure;"commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)";[['CMIP5_Amon', 'CMIP5_cfDay', 'CMIP5_cfSites', 'CMIP5_day']]
rld;Downwelling Longwave Radiation;downwelling_longwave_flux_in_air;Includes also the fluxes at the surface and TOA.;[['CMIP5_cfMon']]
vmre90s;e90s Volume Mixing Ratio;unset;Synthetic tracer e90s, same as e90, but emitted only 40S to 90S.;[['CCMI1_daily', 'CCMI1_monthly']]
